ID,PLANILLA,DISENO,PISO,DIRECCION,D+0.25L,Tx(s),Ty(s),Qmin,Qmax,Qx[tonf],Qy[tonf],AREA PLANTA,MURO,L [cm],xi [cm],yi [cm],Espaciamiento de clavos [cm],Cantidad de Tableros OSB,#PPDD de Borde externos,#PPDD de Borde internos,Espaciamiento,# PPDD total,Diametro ATS [cm]
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,11.1,288,184,2120,5,2,3,3,20.0,17,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,11.2,288,1446,2120,5,2,3,3,20.0,17,2.8575
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,12.1,155,793,2350,5,2,3,2,20.0,12,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,12.2,155,970,2350,5,2,3,2,20.0,12,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,13.1,120,162,2472,5,2,3,2,20.0,11,3.4925
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,13.2,171,385,2472,5,2,3,2,20.0,12,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,13.3,171,1362,2472,5,2,3,2,20.0,12,3.175
,P2 con ATS (Sin pandeo eje debil),P2_5_0.004_6.5_D_II_3_MGP10_ATS,1,X,150084.70391726412,0.4095478662127452,0.42361262526656207,,,120.94189800033946,120.94189800033946,4366070.964799999,13.4,120,1636,2472,5,2,3,2,20.0,11,3.4925
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,148936.0284149641,0.3898808150221476,0.4083737482574076,,,119.75936715958667,119.75936715958667,4366070.964799999,1.1,120,162,0,5,2,2,2,20.0,8,4.445
,P2 con ATS (Sin pandeo eje debil),P2_5_0.002_5.5_C_II_3_MGP10_ATS_Op,1,X,148936.0284149641,0.3898808150221476,0.4083737482574076,,,119.75936715958667,119.75936715958667,4366070.964799999,1.2,171,385,0,5,2,3,2,20.0,11,4.445
