ID,PLANILLA,DISENO,PISO,DIRECCION,D+0.25L,Tx(s),Ty(s),Qmin,Qmax,Qx[tonf],Qy[tonf],AREA PLANTA,MURO,L [cm],xi [cm],yi [cm],Espaciamiento de clavos [cm],Cantidad de Tableros OSB,#PPDD de Borde externos,#PPDD de Borde internos,Espaciamiento,# PPDD total,Diametro ATS [cm],Unnamed: 24,Unnamed: 25
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,88983.11332325202,0.5096555605733841,0.4007732434656327,,,51.832961830998144,68.35394961499762,2526612.8516999995,9.1,120,333.6,1195.2,5,2,2,2,20.0,9,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.002_5.5_B_II_3_MGP10_ATS,1,X,88983.11332325202,0.5096555605733841,0.4007732434656327,,,51.832961830998144,68.35394961499762,2526612.8516999995,9.2,120,2011.2,1195.2,5,2,2,2,20.0,9,4.445,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,86662.09218695201,0.7526365903903366,0.6312103850251896,,,28.035824933362342,32.4835006518713,2526612.8516999995,1.1,120,333.6,0.0,15,1,1,1,20.0,5,1.905,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,86662.09218695201,0.7526365903903366,0.6312103850251896,,,28.035824933362342,32.4835006518713,2526612.8516999995,1.2,120,2011.2,0.0,15,1,1,1,20.0,5,1.905,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,86662.09218695201,0.7526365903903366,0.6312103850251896,,,28.035824933362342,32.4835006518713,2526612.8516999995,2.1,127,826.8,122.8,15,1,1,1,20.0,5,1.905,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,86662.09218695201,0.7526365903903366,0.6312103850251896,,,28.035824933362342,32.4835006518713,2526612.8516999995,2.2,280,1090.4,122.8,5,1,1,1,20.0,9,1.905,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,86662.09218695201,0.7526365903903366,0.6312103850251896,,,28.035824933362342,32.4835006518713,2526612.8516999995,2.3,127,1506.8,122.8,15,1,1,1,20.0,5,1.905,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,86662.09218695201,0.7526365903903366,0.6312103850251896,,,28.035824933362342,32.4835006518713,2526612.8516999995,3.1,205,122.3,323.8,10,1,1,1,20.0,7,1.905,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,86662.09218695201,0.7526365903903366,0.6312103850251896,,,28.035824933362342,32.4835006518713,2526612.8516999995,3.2,205,2133.5,323.8,10,1,1,1,20.0,7,1.905,,
,C con ATS (Sin pandeo eje debil),C_5_0.004_6.5_B_II_3_MGP10_ATS,1,X,86662.09218695201,0.7526365903903366,0.6312103850251896,,,28.035824933362342,32.4835006518713,2526612.8516999995,4.1,169,412.6,427.6,10,1,1,1,20.0,6,1.905,,
